report_date,asset,label,symbol,amount_krw,buy_date,buy_price_krw,units,final_price_krw,final_value_krw,profit_krw,return
2012-03-06,cash,KODEX 단기채권,153130.KS,500000,2012-03-06,85528.5078,5.846004014195194,113255.0,662089,162089,0.3241783692553535
2012-03-06,gold,KODEX 골드선물(H),132030.KS,350000,2012-03-06,12965.6543,26.994395499528125,25450.0,687007,337007,0.9628781870371166
2012-03-06,silver,KODEX 은선물(H),144600.KS,150000,2012-03-06,8573.125,17.49653714369031,12600.0,220456,70456,0.4697091200699861
2012-03-06,equity,TIGER 미국나스닥100,133690.KS,500000,2012-03-06,12319.3662,40.586503513150305,199440.0,8094572,7594572,15.189144521325396
2012-04-06,cash,KODEX 단기채권,153130.KS,550000,2012-04-06,85793.2969,6.410757250666618,113255.0,726050,176050,0.3200914771349961
2012-04-06,gold,KODEX 골드선물(H),132030.KS,300000,2012-04-06,12413.3955,24.16744071444367,25450.0,615061,315061,1.0502045539419713
2012-04-06,silver,KODEX 은선물(H),144600.KS,150000,2012-04-06,8069.7031,18.588044402191066,12600.0,234209,84209,0.5613957297840495
2012-04-06,equity,TIGER 미국나스닥100,133690.KS,500000,2012-04-06,13185.2334,37.92120965103673,199440.0,7563006,7063006,14.12601210560553
2012-05-06,cash,KODEX 단기채권,153130.KS,550000,2012-05-04,86015.375,6.394205687064667,113255.0,724176,174176,0.31668320925183435
2012-05-06,gold,KODEX 골드선물(H),132030.KS,250000,2012-05-04,12468.124,20.05113195297477,25450.0,510301,260301,1.0412052328128318
2012-05-06,silver,KODEX 은선물(H),144600.KS,150000,2012-05-04,7641.0469,19.630817930298328,12600.0,247348,97348,0.6489887061450597
2012-05-06,equity,TIGER 미국나스닥100,133690.KS,550000,2012-05-04,12963.957,42.425318031694246,199440.0,8461305,7911305,14.384191687711091
2012-06-06,cash,KODEX 단기채권,153130.KS,550000,2012-06-05,86271.5938,6.375215480472099,113255.0,722025,172025,0.312772780437941
2012-06-06,gold,KODEX 골드선물(H),132030.KS,300000,2012-06-05,12383.5439,24.22569834005862,25450.0,616544,316544,1.0551467425149728
2012-06-06,silver,KODEX 은선물(H),144600.KS,150000,2012-06-05,7187.4688,20.86965595502589,12600.0,262958,112958,0.7530511002221749
2012-06-06,equity,TIGER 미국나스닥100,133690.KS,500000,2012-06-05,12497.3486,40.00848617499727,199440.0,7979292,7479292,14.958584965482913
2012-07-06,cash,KODEX 단기채권,153130.KS,500000,2012-07-06,86515.0234,5.779343056656615,113255.0,654539,154539,0.30907899576329
2012-07-06,gold,KODEX 골드선물(H),132030.KS,300000,2012-07-06,12264.1357,24.461568781241354,25450.0,622547,322547,1.075156418275308
2012-07-06,silver,KODEX 은선물(H),144600.KS,150000,2012-07-06,7003.0469,21.419248318254333,12600.0,269883,119883,0.7992168587333639
2012-07-06,equity,TIGER 미국나스닥100,133690.KS,550000,2012-07-06,12800.4023,42.967399401202904,199440.0,8569418,8019418,14.580760248319832
2012-08-06,cash,KODEX 단기채권,153130.KS,500000,2012-08-06,86809.7109,5.75972428199862,113255.0,652318,152318,0.3046351471155073
2012-08-06,gold,KODEX 골드선물(H),132030.KS,300000,2012-08-06,12298.9629,24.39230060842592,25450.0,620784,320784,1.0692801682814657
2012-08-06,silver,KODEX 은선물(H),144600.KS,150000,2012-08-06,7027.9688,21.343293536983925,12600.0,268925,118925,0.7928366571066499
2012-08-06,equity,TIGER 미국나스닥100,133690.KS,550000,2012-08-06,12896.6123,42.64685849322561,199440.0,8505489,7955489,14.464526287070756
2012-09-06,cash,KODEX 단기채권,153130.KS,500000,2012-09-06,87014.7031,5.746155328275161,113255.0,650781,150781,0.3015616434076067
2012-09-06,gold,KODEX 골드선물(H),132030.KS,300000,2012-09-06,12985.5557,23.102592431238765,25450.0,587961,287961,0.9598699245834219
